Sample,Observed,Chao1,Shannon,Simpson,Site,Seep,Domain,Layer
ROV5.8.0,46,46,0.155350151,0.038076458,ROV5,Non-Seep,ITS,0
ROV5.8.90,41,41,0.678749241,0.218741726,ROV5,Non-Seep,ITS,90
ROV5.8.210,23,23,0.072976855,0.01975999,ROV5,Non-Seep,ITS,210
ROV5.8.810,157,157,1.903848544,0.851754601,ROV5,Non-Seep,ITS,810
ROV2.8.0,139,139,1.252329711,0.557791788,ROV2,Seep,ITS,0
ROV2.8.210,66,66.2,0.571949637,0.194330874,ROV2,Seep,ITS,90
ROV2.8.330,56,56,0.189644204,0.045836847,ROV2,Seep,ITS,210
ROV2.8.450,20,20,0.046184732,0.011294923,ROV2,Seep,ITS,450
ROV2.8.570,89,89,0.395198188,0.110251986,ROV2,Seep,ITS,570
ROV2.8.690,21,21,0.023899128,0.00503258,ROV2,Seep,ITS,690
ROV2.8.810,140,140,0.767726535,0.230497408,ROV2,Seep,ITS,810
ROV3.8.0,96,96,0.332411754,0.084396123,ROV3,Seep,ITS,0
ROV3.8.210,72,72,0.595021382,0.213270641,ROV3,Seep,ITS,90
ROV3.8.330,41,41,0.250112799,0.070619682,ROV3,Seep,ITS,210
ROV3.8.450,38,38,0.200858692,0.055508964,ROV3,Seep,ITS,450
ROV3.8.570,68,68,0.417690864,0.129600225,ROV3,Seep,ITS,570
ROV3.8.690,96,96,1.0283742,0.378954441,ROV3,Seep,ITS,690
ROV3.8.810,121,121,1.1211981,0.349469548,ROV3,Seep,ITS,810
